index,Category
Larceny Theft,175677
Malicious Mischief,39108
Other Miscellaneous,41560
Assault,34793
Non-Criminal,35040
Burglary,32940
Motor Vehicle Theft,28457
Recovered Vehicle,21895
Fraud,17463
Warrant,17670
Others,133390
